schemaname	tablename	indexname	indexdef
public	execution_entity	IDX_execution_entity_deduplicationKey	CREATE UNIQUE INDEX "IDX_execution_entity_deduplicationKey" ON public.execution_entity USING btree ("deduplicationKey") WHERE ("deduplicationKey" IS NOT NULL)
public	execution_entity	IDX_execution_entity_deletedAt	CREATE INDEX "IDX_execution_entity_deletedAt" ON public.execution_entity USING btree ("deletedAt")
public	execution_entity	idx_execution_entity_stopped_at_status_deleted_at	CREATE INDEX idx_execution_entity_stopped_at_status_deleted_at ON public.execution_entity USING btree ("stoppedAt", status, "deletedAt") WHERE (("stoppedAt" IS NOT NULL) AND ("deletedAt" IS NULL))
public	execution_entity	idx_execution_entity_wait_till_status_deleted_at	CREATE INDEX idx_execution_entity_wait_till_status_deleted_at ON public.execution_entity USING btree ("waitTill", status, "deletedAt") WHERE (("waitTill" IS NOT NULL) AND ("deletedAt" IS NULL))
public	execution_entity	idx_execution_entity_workflow_id_started_at	CREATE INDEX idx_execution_entity_workflow_id_started_at ON public.execution_entity USING btree ("workflowId", "startedAt") WHERE (("startedAt" IS NOT NULL) AND ("deletedAt" IS NULL))
public	execution_entity	pk_e3e63bbf986767844bbe1166d4e	CREATE UNIQUE INDEX pk_e3e63bbf986767844bbe1166d4e ON public.execution_entity USING btree (id)
public	execution_metadata	IDX_cec8eea3bf49551482ccb4933e	CREATE UNIQUE INDEX "IDX_cec8eea3bf49551482ccb4933e" ON public.execution_metadata USING btree ("executionId", key)
public	execution_metadata	PK_17a0b6284f8d626aae88e1c16e4	CREATE UNIQUE INDEX "PK_17a0b6284f8d626aae88e1c16e4" ON public.execution_metadata USING btree (id)
public	folder	IDX_14f68deffaf858465715995508	CREATE UNIQUE INDEX "IDX_14f68deffaf858465715995508" ON public.folder USING btree ("projectId", id)
public	folder	PK_6278a41a706740c94c02e288df8	CREATE UNIQUE INDEX "PK_6278a41a706740c94c02e288df8" ON public.folder USING btree (id)
public	folder_tag	PK_27e4e00852f6b06a925a4d83a3e	CREATE UNIQUE INDEX "PK_27e4e00852f6b06a925a4d83a3e" ON public.folder_tag USING btree ("folderId", "tagId")
public	insights_by_period	IDX_60b6a84299eeb3f671dfec7693	CREATE UNIQUE INDEX "IDX_60b6a84299eeb3f671dfec7693" ON public.insights_by_period USING btree ("periodStart", type, "periodUnit", "metaId")
public	insights_by_period	PK_b606942249b90cc39b0265f0575	CREATE UNIQUE INDEX "PK_b606942249b90cc39b0265f0575" ON public.insights_by_period USING btree (id)
public	insights_metadata	IDX_1d8ab99d5861c9388d2dc1cf73	CREATE UNIQUE INDEX "IDX_1d8ab99d5861c9388d2dc1cf73" ON public.insights_metadata USING btree ("workflowId")
public	insights_metadata	PK_f448a94c35218b6208ce20cf5a1	CREATE UNIQUE INDEX "PK_f448a94c35218b6208ce20cf5a1" ON public.insights_metadata USING btree ("metaId")
public	insights_raw	IDX_insights_raw_timestamp_id	CREATE INDEX "IDX_insights_raw_timestamp_id" ON public.insights_raw USING btree ("timestamp", id)
public	insights_raw	PK_ec15125755151e3a7e00e00014f	CREATE UNIQUE INDEX "PK_ec15125755151e3a7e00e00014f" ON public.insights_raw USING btree (id)
public	installed_nodes	PK_8ebd28194e4f792f96b5933423fc439df97d9689	CREATE UNIQUE INDEX "PK_8ebd28194e4f792f96b5933423fc439df97d9689" ON public.installed_nodes USING btree (name)
public	installed_packages	PK_08cc9197c39b028c1e9beca225940576fd1a5804	CREATE UNIQUE INDEX "PK_08cc9197c39b028c1e9beca225940576fd1a5804" ON public.installed_packages USING btree ("packageName")
public	instance_ai_checkpoints	IDX_2b23f3f24a70bebb990203b011	CREATE INDEX "IDX_2b23f3f24a70bebb990203b011" ON public.instance_ai_checkpoints USING btree ("threadId")
public	instance_ai_checkpoints	IDX_768189b506cc26c4fe878b87cb	CREATE INDEX "IDX_768189b506cc26c4fe878b87cb" ON public.instance_ai_checkpoints USING btree ("runId")
public	instance_ai_checkpoints	IDX_be9d0eca0b19fb93d4eb74b327	CREATE INDEX "IDX_be9d0eca0b19fb93d4eb74b327" ON public.instance_ai_checkpoints USING btree ("resourceId")
public	instance_ai_checkpoints	PK_5315a45f0846d1f9d128c18a2ed	CREATE UNIQUE INDEX "PK_5315a45f0846d1f9d128c18a2ed" ON public.instance_ai_checkpoints USING btree (key)
public	instance_ai_iteration_logs	IDX_02751202c9a2ad75f2d8e14f5e	CREATE INDEX "IDX_02751202c9a2ad75f2d8e14f5e" ON public.instance_ai_iteration_logs USING btree ("threadId", "taskKey", "createdAt")
public	instance_ai_iteration_logs	PK_21c2b214b44bc6c34a6d3551c90	CREATE UNIQUE INDEX "PK_21c2b214b44bc6c34a6d3551c90" ON public.instance_ai_iteration_logs USING btree (id)
public	instance_ai_messages	IDX_1eeb64cb9d66a927988de759e6	CREATE INDEX "IDX_1eeb64cb9d66a927988de759e6" ON public.instance_ai_messages USING btree ("threadId")
public	instance_ai_messages	IDX_76e212c6867fbaa06bf0decd6f	CREATE INDEX "IDX_76e212c6867fbaa06bf0decd6f" ON public.instance_ai_messages USING btree ("resourceId")
public	instance_ai_messages	PK_156c6f287225e9befe0181bb02b	CREATE UNIQUE INDEX "PK_156c6f287225e9befe0181bb02b" ON public.instance_ai_messages USING btree (id)
public	instance_ai_observation_cursors	PK_5b6319b2e9a37c1064a72428f9a	CREATE UNIQUE INDEX "PK_5b6319b2e9a37c1064a72428f9a" ON public.instance_ai_observation_cursors USING btree ("observationScopeId")
public	instance_ai_observation_locks	PK_fc491dd378b9448655c3c683f85	CREATE UNIQUE INDEX "PK_fc491dd378b9448655c3c683f85" ON public.instance_ai_observation_locks USING btree ("observationScopeId", "taskKind")
public	instance_ai_observational_memory	IDX_92f13cb6bc694227e069447f7b	CREATE INDEX "IDX_92f13cb6bc694227e069447f7b" ON public.instance_ai_observational_memory USING btree ("lookupKey")
public	instance_ai_observational_memory	IDX_a680ac96aae02dc887bbaac512	CREATE UNIQUE INDEX "IDX_a680ac96aae02dc887bbaac512" ON public.instance_ai_observational_memory USING btree (scope, "threadId", "resourceId")
public	instance_ai_observational_memory	PK_7192dd00cddba039bf1d3e6a098	CREATE UNIQUE INDEX "PK_7192dd00cddba039bf1d3e6a098" ON public.instance_ai_observational_memory USING btree (id)
public	instance_ai_observations	IDX_0d5db648188d338df7fb2a8064	CREATE INDEX "IDX_0d5db648188d338df7fb2a8064" ON public.instance_ai_observations USING btree ("observationScopeId", status, "createdAt", id)
public	instance_ai_observations	IDX_a80e0ee839a2f10ba4b86e1999	CREATE INDEX "IDX_a80e0ee839a2f10ba4b86e1999" ON public.instance_ai_observations USING btree ("supersededBy")
public	instance_ai_observations	IDX_daef2195a4a846eb70eed15e03	CREATE INDEX "IDX_daef2195a4a846eb70eed15e03" ON public.instance_ai_observations USING btree ("parentId")
public	instance_ai_observations	PK_4d9b514cdf0f0b577650caf2ac2	CREATE UNIQUE INDEX "PK_4d9b514cdf0f0b577650caf2ac2" ON public.instance_ai_observations USING btree (id)
public	instance_ai_pending_confirmations	IDX_0babdf6e3b897a86fe4678355e	CREATE INDEX "IDX_0babdf6e3b897a86fe4678355e" ON public.instance_ai_pending_confirmations USING btree ("checkpointKey")
public	instance_ai_pending_confirmations	IDX_ba67ee8dc311830a2eea89b6e9	CREATE INDEX "IDX_ba67ee8dc311830a2eea89b6e9" ON public.instance_ai_pending_confirmations USING btree ("threadId")
public	instance_ai_pending_confirmations	IDX_d7a4aba7440449865e2b924377	CREATE INDEX "IDX_d7a4aba7440449865e2b924377" ON public.instance_ai_pending_confirmations USING btree ("expiresAt")
