table_schema	table_name	ordinal_position	column_name	data_type	udt_name	is_nullable	column_default
public	data_table	5	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	data_table_column	1	id	character varying	varchar	NO	
public	data_table_column	2	name	character varying	varchar	NO	
public	data_table_column	3	type	character varying	varchar	NO	
public	data_table_column	4	index	integer	int4	NO	
public	data_table_column	5	dataTableId	character varying	varchar	NO	
public	data_table_column	6	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	data_table_column	7	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	deployment_key	1	id	character varying	varchar	NO	
public	deployment_key	2	type	character varying	varchar	NO	
public	deployment_key	3	value	text	text	NO	
public	deployment_key	4	algorithm	character varying	varchar	YES	
public	deployment_key	5	status	character varying	varchar	NO	
public	deployment_key	6	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	deployment_key	7	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	dynamic_credential_entry	1	credential_id	character varying	varchar	NO	
public	dynamic_credential_entry	2	subject_id	character varying	varchar	NO	
public	dynamic_credential_entry	3	resolver_id	character varying	varchar	NO	
public	dynamic_credential_entry	4	data	text	text	NO	
public	dynamic_credential_entry	5	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	dynamic_credential_entry	6	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	dynamic_credential_resolver	1	id	character varying	varchar	NO	
public	dynamic_credential_resolver	2	name	character varying	varchar	NO	
public	dynamic_credential_resolver	3	type	character varying	varchar	NO	
public	dynamic_credential_resolver	4	config	text	text	NO	
public	dynamic_credential_resolver	5	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	dynamic_credential_resolver	6	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	dynamic_credential_user_entry	1	credentialId	character varying	varchar	NO	
public	dynamic_credential_user_entry	2	userId	uuid	uuid	NO	
public	dynamic_credential_user_entry	3	resolverId	character varying	varchar	NO	
public	dynamic_credential_user_entry	4	data	text	text	NO	
public	dynamic_credential_user_entry	5	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	dynamic_credential_user_entry	6	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	evaluation_collection	1	id	character varying	varchar	NO	
public	evaluation_collection	2	name	character varying	varchar	NO	
public	evaluation_collection	3	description	text	text	YES	
public	evaluation_collection	4	workflowId	character varying	varchar	NO	
public	evaluation_collection	5	evaluationConfigId	character varying	varchar	NO	
public	evaluation_collection	6	createdById	uuid	uuid	YES	
public	evaluation_collection	7	insightsCache	json	json	YES	
public	evaluation_collection	8	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	evaluation_collection	9	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	evaluation_config	1	id	character varying	varchar	NO	
public	evaluation_config	2	workflowId	character varying	varchar	NO	
public	evaluation_config	3	name	character varying	varchar	NO	
public	evaluation_config	4	status	character varying	varchar	NO	'valid'::character varying
public	evaluation_config	5	invalidReason	character varying	varchar	YES	
public	evaluation_config	6	datasetSource	character varying	varchar	NO	
public	evaluation_config	7	datasetRef	json	json	NO	
public	evaluation_config	8	startNodeName	character varying	varchar	NO	
public	evaluation_config	9	endNodeName	character varying	varchar	NO	
public	evaluation_config	10	metrics	json	json	NO	
public	evaluation_config	11	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	evaluation_config	12	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	event_destinations	1	id	uuid	uuid	NO	
public	event_destinations	2	destination	jsonb	jsonb	NO	
public	event_destinations	3	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	event_destinations	4	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	execution_annotation_tags	1	annotationId	integer	int4	NO	
public	execution_annotation_tags	2	tagId	character varying	varchar	NO	
public	execution_annotations	1	id	integer	int4	NO	nextval('execution_annotations_id_seq'::regclass)
public	execution_annotations	2	executionId	integer	int4	NO	
public	execution_annotations	3	vote	character varying	varchar	YES	
public	execution_annotations	4	note	text	text	YES	
public	execution_annotations	5	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	execution_annotations	6	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	execution_data	1	executionId	integer	int4	NO	
public	execution_data	2	workflowData	json	json	NO	
public	execution_data	3	data	text	text	NO	
public	execution_data	4	workflowVersionId	character varying	varchar	YES	
public	execution_entity	1	id	integer	int4	NO	nextval('execution_entity_id_seq'::regclass)
public	execution_entity	3	finished	boolean	bool	NO	
public	execution_entity	4	mode	character varying	varchar	NO	
public	execution_entity	5	retryOf	character varying	varchar	YES	
public	execution_entity	6	retrySuccessId	character varying	varchar	YES	
public	execution_entity	7	startedAt	timestamp with time zone	timestamptz	YES	
public	execution_entity	8	stoppedAt	timestamp with time zone	timestamptz	YES	
public	execution_entity	11	waitTill	timestamp with time zone	timestamptz	YES	
